,Date,tweet_content
32,2016-06-07,TO WATCH URBF ZONX INCT XTRA COLV VGID STHC QUTR LSTG
33,2016-06-07,Reversal here it comes INCT
34,2016-06-07, INCT INCT INCT INCT INCT INCT INCT INCT
35,2016-06-07,RT __USER __USER INCT 0 001 0 0012
36,2016-06-07,RT __USER INCT watching bmak lot of loading
37,2016-06-07,__USER INCT 0 001 0 0012
38,2016-06-07, INCT watching bmak lot of loading
39,2016-06-07, INCT 0 009 0 001
40,2016-06-07, inct 0 001 41 18 watch it
41,2016-06-06, INCT 38 at 0 0013
42,2016-06-06, inct bid in 0 0014
43,2016-06-06,This is the __HASH_1 most common mistake traders make __URL PPCH EGO BRCD ECA RIG LBIO INCT NOK PZOO
44,2016-06-06, inct 0 0021 an xtrn 0 0021 big drop last week keep an eye on them
45,2016-06-05,RT __USER OTC Watch List ONCI WDRP GDSI ADTM INTK MMHC INCT VNTH EQLB NGBL URBF TALK KGNX __HASH_PENNYSTOCKS adtm risky h __PUNC_ELLP 
46,2016-06-05,RT __USER OTC Watch List ONCI WDRP GDSI ADTM INTK MMHC INCT VNTH EQLB NGBL URBF TALK KGNX __HASH_PENNYSTOCKS adtm risky h __PUNC_ELLP 
47,2016-06-05,OTC Watch List ONCI WDRP GDSI ADTM INTK MMHC INCT VNTH EQLB NGBL URBF TALK KGNX __HASH_PENNYSTOCKS adtm risky __URL 
48,2016-06-05,This is the __HASH_1 most common mistake traders make __URL PPCH EGO BRCD ECA RIG LBIO INCT NOK PZOO
49,2016-06-04,This is the __HASH_1 most common mistake traders make __URL PPCH EGO BRCD ECA RIG LBIO INCT NOK PZOO
50,2016-06-03, inct 0 0019 71 04 watch it
51,2016-06-03, INCT 0 0022 0 0028 on watch
52,2016-06-03, inct 0 003 55 22 watch it
53,2016-05-27,__USER INCT decent close today 0058 499k bidder walking this once up How far will he go __PUNC_QUES __HASH_HASHTAG
54,2016-05-20, inct 0 0039red to green
55,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
56,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
57,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
58,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
59,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
60,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
61,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
62,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
63,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
64,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
65,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
66,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
67,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
68,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
69,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
70,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
71,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
72,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
73,2016-05-19,RT __USER GOT __HASH_PENNYSTOCKS __PUNC_QUES JOIN __HASH_TEAMBILLIONAIRE NEXT MEGASTOCK UNICORN ALERT __USER __HASH_BMM AVTH RMTN INCT htt __PUNC_ELLP 
